field_name,occurrence_count,types,tables,positions,option_values
备注,13,text:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#91; ✅✅136-WHOLE-MASTERLIST【基础-高四】#124; ✅✅136-旧Backlog【基础-高四】#94; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#29; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#64; 🖊️🖊️136-基础FINAL MASTERLIST#120; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#60; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#74; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#110; 🖊️-136-高阶一-FINAL MASTERLIST#38; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#32; 🖊️-136-高阶二-Final Masterlist.#66; 🖊️-136-高阶二-【高阶二Backlog】Bible#93,
定金,13,number:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#107; ✅✅136-WHOLE-MASTERLIST【基础-高四】#102; ✅✅136-旧Backlog【基础-高四】#102; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#16; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#98; 🖊️🖊️136-基础FINAL MASTERLIST#40; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#140; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#65; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#100; 🖊️-136-高阶一-FINAL MASTERLIST#125; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#61; 🖊️-136-高阶二-Final Masterlist.#125; 🖊️-136-高阶二-【高阶二Backlog】Bible#66,
膳食费用,13,select:12; number:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#52; ✅✅136-WHOLE-MASTERLIST【基础-高四】#19; ✅✅136-旧Backlog【基础-高四】#123; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#10; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#71; 🖊️🖊️136-基础FINAL MASTERLIST#102; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#42; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#116; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#10; 🖊️-136-高阶一-FINAL MASTERLIST#46; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#97; 🖊️-136-高阶二-Final Masterlist.#127; 🖊️-136-高阶二-【高阶二Backlog】Bible#67,0; 1200; 2300; 2675; 375
补款,13,number:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#86; ✅✅136-WHOLE-MASTERLIST【基础-高四】#79; ✅✅136-旧Backlog【基础-高四】#139; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#70; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#108; 🖊️🖊️136-基础FINAL MASTERLIST#91; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#82; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#81; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#49; 🖊️-136-高阶一-FINAL MASTERLIST#139; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#120; 🖊️-136-高阶二-Final Masterlist.#36; 🖊️-136-高阶二-【高阶二Backlog】Bible#43,
"高阶SO/Transfer No. (A,B,C,D)",13,number:12; text:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#82; ✅✅136-WHOLE-MASTERLIST【基础-高四】#62; ✅✅136-旧Backlog【基础-高四】#119; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#79; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#103; 🖊️🖊️136-基础FINAL MASTERLIST#126; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#80; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#129; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#24; 🖊️-136-高阶一-FINAL MASTERLIST#26; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#87; 🖊️-136-高阶二-Final Masterlist.#55; 🖊️-136-高阶二-【高阶二Backlog】Bible#118,
"高阶一确认当班 (A,B,C,D)",13,select:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#39; ✅✅136-WHOLE-MASTERLIST【基础-高四】#1; ✅✅136-旧Backlog【基础-高四】#131; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#118; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#29; 🖊️🖊️136-基础FINAL MASTERLIST#134; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#77; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#111; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#96; 🖊️-136-高阶一-FINAL MASTERLIST#37; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#60; 🖊️-136-高阶二-Final Masterlist.#89; 🖊️-136-高阶二-【高阶二Backlog】Bible#128,"1; 1/4 136高阶一确认，高二待定
31/3 未接
30/3/26 5.55pm - 未通; 1/4 不方便联系，周四12pm
30/3/26 5.50pm - 需要5天的时间安排，再给答复; 1/4 确认136高阶二，高阶一在场外; 1/4 确认当班
31/3 家里有事，经济卡，周三2pm后确认，需要Instalments
30/3/26 4.20pm - 未接; 1/4 确认当班，周四会处理payment; 14/3 确认136高阶当班; 30/3/26 3.30pm - 确认136高一高二; 30/3/26 3.45pm - 待确认，需等玉萍安排看如何，一起上。本身有卡如果要住在中心，本身有顾孩子，要问如果老公一起过来入住中心带孩子照顾可以吗; 30/3/26 4.20pm - 目前还在考虑是否会继续高阶中，尽量在这星期给回应; 30/3/26 4.20pm - 确认136高一，高二待定; 30/3/26 4.45pm - 确认136高一高二; 30/3/26 4pm - 确认136高一高二; 30/3/26 5.10pm - 确认136高一高二; 30/3/26 5.55pm - 决定不继续高阶; 30/3/26 5pm - 确认136高一高二; 30/3/26 6.05pm - 明天回去sarawak才可看安排是否能136; 30/3/26 6.05pm - 确认136高一，高二待定
30/3/26 4.20pm - 未接; 30/3/26 6.30pm - 确认136高一高二; 31/3 确认当班; 31/3 确认当班
30/3/26 5.30pm - 目前卡请假，最快明天给确定; 31/3 确认当班
30/3/26 6.55pm - 未接
30/3/26 4.20pm - 待确认中心确定学员是否可参与高一; 31/3 确认当班，高二待定
30/3/26 5.45pm - 未接; 5/3 确认136高阶一二当班，高阶三有2场重要的婚礼
不当班; Yes; 不当班; 健康待不通过; 健康待审核; 待确认; 未接; 未接电话; 确认; 高阶一确认当班 (A,B,C,D)"
高阶一确认期别人数,13,formula:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#138; ✅✅136-WHOLE-MASTERLIST【基础-高四】#31; ✅✅136-旧Backlog【基础-高四】#41; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#11; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#125; 🖊️🖊️136-基础FINAL MASTERLIST#60; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#126; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#120; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#127; 🖊️-136-高阶一-FINAL MASTERLIST#133; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#108; 🖊️-136-高阶二-Final Masterlist.#50; 🖊️-136-高阶二-【高阶二Backlog】Bible#114,
"高阶一酒店费用  (A,B,C,D)",13,select:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#12; ✅✅136-WHOLE-MASTERLIST【基础-高四】#23; ✅✅136-旧Backlog【基础-高四】#91; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#91; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#8; 🖊️🖊️136-基础FINAL MASTERLIST#79; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#8; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#70; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#103; 🖊️-136-高阶一-FINAL MASTERLIST#94; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#85; 🖊️-136-高阶二-Final Masterlist.#71; 🖊️-136-高阶二-【高阶二Backlog】Bible#107,"0; 1000; 1112; 1168; 1304; 13149; 1485; 15800; 19904; 2,300; 2300; 2350; 660; 69; 864; 965"
高阶三已进课室,13,select:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#53; ✅✅136-WHOLE-MASTERLIST【基础-高四】#27; ✅✅136-旧Backlog【基础-高四】#15; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#38; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#73; 🖊️🖊️136-基础FINAL MASTERLIST#2; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#88; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#79; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#65; 🖊️-136-高阶一-FINAL MASTERLIST#9; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#127; 🖊️-136-高阶二-Final Masterlist.#126; 🖊️-136-高阶二-【高阶二Backlog】Bible#127,KLCP112; KLCP131; KLCP132; KLCP133; KLCP135; KLCP136; KLCP137; KLCP138; KLCP139; KLCP140
"高阶二卓越宣言表  (A,B,C,D)",13,text:11; lookup:1; select:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#141; ✅✅136-WHOLE-MASTERLIST【基础-高四】#9; ✅✅136-旧Backlog【基础-高四】#46; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#96; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#128; 🖊️🖊️136-基础FINAL MASTERLIST#114; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#141; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#32; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#94; 🖊️-136-高阶一-FINAL MASTERLIST#49; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#91; 🖊️-136-高阶二-Final Masterlist.#102; 🖊️-136-高阶二-【高阶二Backlog】Bible#55,No; Yes
"高阶二总费用  (A,B,C,D)",13,formula:12; lookup:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#72; ✅✅136-WHOLE-MASTERLIST【基础-高四】#82; ✅✅136-旧Backlog【基础-高四】#52; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#132; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#137; 🖊️🖊️136-基础FINAL MASTERLIST#135; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#89; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#113; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#90; 🖊️-136-高阶一-FINAL MASTERLIST#1; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#98; 🖊️-136-高阶二-Final Masterlist.#63; 🖊️-136-高阶二-【高阶二Backlog】Bible#22,
"高阶二确认当班 (A,B,C,D)",13,select:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#102; ✅✅136-WHOLE-MASTERLIST【基础-高四】#98; ✅✅136-旧Backlog【基础-高四】#54; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#107; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#31; 🖊️🖊️136-基础FINAL MASTERLIST#58; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#6; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#49; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#72; 🖊️-136-高阶一-FINAL MASTERLIST#7; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#86; 🖊️-136-高阶二-Final Masterlist.#19; 🖊️-136-高阶二-【高阶二Backlog】Bible#2,".星期一12pm-12am; .星期一12pm-7pm; .星期一2pm-3pm; 不当班; 今天随时都可以，只是5:05pm - 7:05pm 在飞机上; 待确认; 星期一 1.30pm; 星期一 11am
-高阶二可以勇敢的发表; 星期一 12pm; 星期一 2pm; 星期一 3pm-7pm 间 星期几都行; 星期一 6pm 过后; 星期一 7pm过后; 星期一 9pm; 星期一/二-1-3pm daily ; 星期一/二2-3pm; 星期一8-9pm （下午不要Call） ; 星期一早上11点后都可以; 星期二 10pm; 星期二 11am（除了星期一到五6am-10am之前不行，其他时间都可以）; 星期二10pm; 星期二2-4点; 星期二2pm ; 未接; 确认"
"高阶余款  (A,B,C,D)",13,number:12; text:1,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#17; ✅✅136-WHOLE-MASTERLIST【基础-高四】#18; ✅✅136-旧Backlog【基础-高四】#44; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#40; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#104; 🖊️🖊️136-基础FINAL MASTERLIST#127; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#107; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#85; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#31; 🖊️-136-高阶一-FINAL MASTERLIST#47; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#122; 🖊️-136-高阶二-Final Masterlist.#133; 🖊️-136-高阶二-【高阶二Backlog】Bible#26,
高阶健康面谈,13,select:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#124; ✅✅136-WHOLE-MASTERLIST【基础-高四】#78; ✅✅136-旧Backlog【基础-高四】#110; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#74; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#61; 🖊️🖊️136-基础FINAL MASTERLIST#94; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#125; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#86; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#128; 🖊️-136-高阶一-FINAL MASTERLIST#16; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#105; 🖊️-136-高阶二-Final Masterlist.#141; 🖊️-136-高阶二-【高阶二Backlog】Bible#91,已面谈; 面谈不通过
高阶四已进课室人数,13,formula:13,✅✅136学员-NEWBIBLE_（Dcode); ✅✅136-WHOLE-MASTERLIST【基础-高四】; ✅✅136-旧Backlog【基础-高四】; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.; 🖊️🖊️136-基础FINAL MASTERLIST; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.; 🖊️-136-高阶一-FINAL MASTERLIST; 🖊️-136-高阶一-【守则后离开】Final Masterlist.; 🖊️-136-高阶二-Final Masterlist.; 🖊️-136-高阶二-【高阶二Backlog】Bible,✅✅136学员-NEWBIBLE_（Dcode)#71; ✅✅136-WHOLE-MASTERLIST【基础-高四】#13; ✅✅136-旧Backlog【基础-高四】#45; ✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】#39; ✅135-【旧Backlog进现行】WHOLE-MASTERLIST 高阶一Bible.#26; 🖊️🖊️136-基础FINAL MASTERLIST#82; 🖊️🖊️136-【基础守则离开】FINAL MASTERLIST.#103; 🖊️🖊️136-【基础Backlog】FINAL MASTERLIST.#96; 🖊️-136-高阶一-【高阶一Backlog】Final Masterlist.#66; 🖊️-136-高阶一-FINAL MASTERLIST#53; 🖊️-136-高阶一-【守则后离开】Final Masterlist.#93; 🖊️-136-高阶二-Final Masterlist.#130; 🖊️-136-高阶二-【高阶二Backlog】Bible#23,
